จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
กรุงเทพมหานคร,2543,56725,53217,109942
สมุทรปราการ,2543,6808,6375,13183
นนทบุรี,2543,4619,4328,8947
ปทุมธานี,2543,2544,2436,4980
พระนครศรีอยุธยา,2543,2806,2665,5471
อ่างทอง,2543,1321,1264,2585
ลพบุรี,2543,4077,3867,7944
สิงห์บุรี,2543,1328,1216,2544
ชัยนาท,2543,1207,1110,2317
สระบุรี,2543,4084,3777,7861
ชลบุรี,2543,9531,9279,18810
ระยอง,2543,3684,3620,7304
จันทบุรี,2543,3134,2960,6094
ตราด,2543,1589,1448,3037
ฉะเชิงเทรา,2543,3902,3764,7666
ปราจีนบุรี,2543,3159,2862,6021
นครนายก,2543,1327,1277,2604
สระแก้ว,2543,3020,2863,5883
นครราชสีมา,2543,15400,14722,30122
บุรีรัมย์,2543,9479,8969,18448
สุรินทร์,2543,9115,8764,17879
ศรีสะเกษ,2543,8671,8622,17293
อุบลราชธานี,2543,11949,11604,23553
ยโสธร,2543,3080,2877,5957
ชัยภูมิ,2543,5653,5414,11067
อำนาจเจริญ,2543,1933,1887,3820
หนองบัวลำภู,2543,2613,2495,5108
ขอนแก่น,2543,11254,10624,21878
อุดรธานี,2543,10135,9596,19731
เลย,2543,3158,2915,6073
หนองคาย,2543,5920,5694,11614
มหาสารคาม,2543,4401,4189,8590
ร้อยเอ็ด,2543,5783,5503,11286
กาฬสินธุ์,2543,5075,4941,10016
สกลนคร,2543,6697,6359,13056
นครพนม,2543,4537,4480,9017
มุกดาหาร,2543,2229,2084,4313
เชียงใหม่,2543,9695,9352,19047
ลำพูน,2543,1322,1198,2520
ลำปาง,2543,2330,2287,4617
อุตรดิตถ์,2543,2200,1988,4188
แพร่,2543,1853,1781,3634
น่าน,2543,2279,2154,4433
พะเยา,2543,1735,1714,3449
เชียงราย,2543,5601,5358,10959
แม่ฮ่องสอน,2543,1948,1844,3792
นครสวรรค์,2543,5508,5382,10890
อุทัยธานี,2543,1976,1780,3756
กำแพงเพชร,2543,3417,3363,6780
ตาก,2543,4640,4336,8976
สุโขทัย,2543,2945,2754,5699
พิษณุโลก,2543,4068,3856,7924
พิจิตร,2543,3030,2797,5827
เพชรบูรณ์,2543,5227,4879,10106
ราชบุรี,2543,6213,6082,12295
กาญจนบุรี,2543,4882,4613,9495
สุพรรณบุรี,2543,4767,4461,9228
นครปฐม,2543,5472,5187,10659
สมุทรสาคร,2543,4633,4284,8917
สมุทรสงคราม,2543,1030,1012,2042
เพชรบุรี,2543,2614,2534,5148
ประจวบคีรีขันธ์,2543,3034,2929,5963
นครศรีธรรมราช,2543,9920,9605,19525
กระบี่,2543,3233,3048,6281
พังงา,2543,1662,1510,3172
ภูเก็ต,2543,2863,2685,5548
สุราษฎร์ธานี,2543,7252,6824,14076
ระนอง,2543,1247,1209,2456
ชุมพร,2543,3593,3277,6870
สงขลา,2543,10791,10228,21019
สตูล,2543,2310,2123,4433
ตรัง,2543,4061,3804,7865
พัทลุง,2543,3027,2789,5816
ปัตตานี,2543,6451,6235,12686
ยะลา,2543,5497,5035,10532
นราธิวาส,2543,6878,6503,13381
กรุงเทพมหานคร,2544,54455,51349,105804
สมุทรปราการ,2544,5059,4670,9729
