จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดร้อยเอ็ด,2541,8511,8226,16737
จังหวัดกาฬสินธุ์,2541,5779,5725,11504
จังหวัดสกลนคร,2541,8226,8181,16407
จังหวัดนครพนม,2541,5402,5033,10435
จังหวัดมุกดาหาร,2541,2559,2460,5019
จังหวัดเชียงใหม่,2541,7765,7294,15059
จังหวัดลำพูน,2541,1542,1561,3103
จังหวัดลำปาง,2541,4178,3733,7911
จังหวัดอุตรดิตถ์,2541,2877,2751,5628
จังหวัดแพร่,2541,2442,2375,4817
จังหวัดน่าน,2541,3048,2939,5987
จังหวัดพะเยา,2541,2766,2612,5378
จังหวัดเชียงราย,2541,7433,7072,14505
จังหวัดแม่ฮ่องสอน,2541,2295,2163,4458
จังหวัดนครสวรรค์,2541,6583,6100,12683
จังหวัดอุทัยธานี,2541,2252,2178,4430
จังหวัดกำแพงเพชร,2541,4285,4205,8490
จังหวัดตาก,2541,4596,4433,9029
จังหวัดสุโขทัย,2541,3538,3213,6751
จังหวัดพิษณุโลก,2541,5266,4927,10193
จังหวัดพิจิตร,2541,3201,2976,6177
จังหวัดเพชรบูรณ์,2541,5875,5727,11602
จังหวัดราชบุรี,2541,6402,6150,12552
จังหวัดกาญจนบุรี,2541,5392,5040,10432
จังหวัดสุพรรณบุรี,2541,5230,5037,10267
จังหวัดนครปฐม,2541,5463,5190,10653
จังหวัดสมุทรสาคร,2541,4659,4212,8871
จังหวัดสมุทรสงคราม,2541,1049,1056,2105
จังหวัดเพชรบุรี,2541,2755,2639,5394
จังหวัดประจวบคีรีขันธ์,2541,3202,3146,6348
จังหวัดนครศรีธรรมราช,2541,10484,9878,20362
จังหวัดกระบี่,2541,3407,3136,6543
จังหวัดพังงา,2541,1797,1778,3575
จังหวัดภูเก็ต,2541,2727,2689,5416
จังหวัดสุราษฎร์ธานี,2541,7900,7243,15143
จังหวัดระนอง,2541,1350,1296,2646
จังหวัดชุมพร,2541,3666,3438,7104
จังหวัดสงขลา,2541,11251,10632,21883
จังหวัดสตูล,2541,2330,2238,4568
จังหวัดตรัง,2541,5237,5136,10373
จังหวัดพัทลุง,2541,3436,3263,6699
จังหวัดปัตตานี,2541,6641,6404,13045
จังหวัดยะลา,2541,5856,5593,11449
จังหวัดนราธิวาส,2541,7943,7872,15815
กรุงเทพมหานคร,2542,50412,47602,98014
จังหวัดสมุทรปราการ,2542,6179,5650,11829
จังหวัดนนทบุรี,2542,4337,4123,8460
จังหวัดปทุมธานี,2542,3313,3152,6465
จังหวัดพระนครศรีอยุธยา,2542,3709,3595,7304
จังหวัดอ่างทอง,2542,1482,1369,2851
จังหวัดลพบุรี,2542,4171,3843,8014
จังหวัดสิงห์บุรี,2542,1404,1375,2779
จังหวัดชัยนาท,2542,1318,1201,2519
จังหวัดสระบุรี,2542,4525,4067,8592
จังหวัดชลบุรี,2542,11115,10125,21240
จังหวัดระยอง,2542,3593,3513,7106
จังหวัดจันทบุรี,2542,2888,2635,5523
จังหวัดตราด,2542,1324,1351,2675
จังหวัดฉะเชิงเทรา,2542,3891,3682,7573
จังหวัดปราจีนบุรี,2542,2484,2457,4941
จังหวัดนครนายก,2542,1365,1222,2587
จังหวัดสระแก้ว,2542,3415,3258,6673
จังหวัดนครราชสีมา,2542,15893,14921,30814
จังหวัดบุรีรัมย์,2542,8283,8078,16361
จังหวัดสุรินทร์,2542,8397,7887,16284
จังหวัดศรีสะเกษ,2542,8495,8327,16822
จังหวัดอุบลราชธานี,2542,10707,10254,20961
จังหวัดยโสธร,2542,3451,3168,6619
จังหวัดชัยภูมิ,2542,5209,4977,10186
จังหวัดอำนาจเจริญ,2542,2207,2081,4288
จังหวัดหนองบัวลำภู,2542,2892,2787,5679
จังหวัดขอนแก่น,2542,11196,10574,21770
